sale type,sold dat,property type,address,city,state,ZIP OR POSTAL CODE,zipcode,price,beds,baths,location,square feet,lot size,year built,days on market,dollar per square feet,hoa per moth,status,source,mls,favorite,interested,latitude,longitude
PAST SALE,May-21-2019,Single Family Residential,4815 Swanns Mill Dr,Durham,NC,27712,27712,245000,4,2.5,Swanns Mill,3104,9583,2006,367,79,47,Sold,TMLS,2247359,N,Y,36.0618844,-78.8737541
PAST SALE,May-21-2019,Single Family Residential,5218 Greyfield Blvd,Durham,NC,27713,27713,295000,4,2.5,Hope Valley Farms,2140,9583,1997,367,138,25,Sold,TMLS,2242953,N,Y,35.9358969,-78.9286321
PAST SALE,May-21-2019,Single Family Residential,714 Keystone Park Dr,Morrisville,NC,27560,27560,325700,4,4,Keystone Crossing,2714,6185,2007,367,120,30,Sold,TMLS,2240889,N,Y,35.8704571,-78.8553458
PAST SALE,May-21-2019,Townhouse,111 Explorer Dr #449,Morrisville,NC,27560,27560,349900,3,3.5,Sterling,2711,4356,2019,367,129,148,Sold,TMLS,2234427,N,Y,35.893,-78.833
PAST SALE,May-21-2019,Single Family Residential,3408 Alman Dr,Durham,NC,27705-3249,27705,370000,5,3.5,Carillon Forest,2703,12109,2011,367,137,38,Sold,TMLS,2225043,N,Y,35.981349,-78.9892905
PAST SALE,May-21-2019,Single Family Residential,6 Tulip Tree Ct,Durham,NC,27712,27712,384900,4,3.5,Treyburn,2892,11064,2017,367,133,46,Sold,TMLS,2238024,N,Y,36.1265567,-78.8542997
PAST SALE,May-21-2019,Single Family Residential,903 Lippincott Rd,Durham,NC,27703,27703,424254,5,3.5,Reserve at Ellis Crossing,3668,5662,2019,367,116,58,Sold,TMLS,2253283,N,Y,35.94797,-78.859025
PAST SALE,May-22-2018,Townhouse,1725 Tw Alexander Dr #805,Durham,NC,27703,27703,182000,3,2.5,Creekside,1585,1524,2005,731,115,155,Sold,TMLS,2184226,N,Y,35.9231533,-78.8397619
PAST SALE,May-22-2018,Single Family Residential,12304 N Exeter Way,Durham,NC,27703,27703,240000,3,2.5,Harrington Pines,1780,6534,2002,731,135,18,Sold,TMLS,2185430,N,Y,35.9269019,-78.7564985
PAST SALE,May-22-2018,Single Family Residential,2 Powder Springs Pl,Durham,NC,27712,27712,298000,4,2.5,Dover Ridge,2376,15333,1999,731,125,13,Sold,TMLS,2193361,N,Y,36.0902552,-78.9275878
PAST SALE,May-22-2018,Single Family Residential,107 Loblolly Dr,Durham,NC,27712,27712,310000,5,3.5,Treyburn,3248,14374,1996,731,95,46,Sold,TMLS,2169682,N,Y,36.129843,-78.8520218
PAST SALE,May-22-2018,Single Family Residential,18 St James Ct,Durham,NC,27713,27713,320000,4,3.5,Woodcroft,2200,15376,1984,731,145,18,Sold,TMLS,2186599,N,Y,35.9160567,-78.94672
PAST SALE,May-22-2018,Single Family Residential,104 Wendover Ln,Durham,NC,27713,27713,415000,5,3.5,Fairfield,3326,12806,1995,731,125,55,Sold,TMLS,2178635,N,Y,35.8825829,-78.9291811
PAST SALE,May-22-2018,Single Family Residential,112 Springdale Way,Chapel Hill,NC,27517,27517,515000,5,3.5,Meadowmont,3703,11761,2006,731,139,37,Sold,TMLS,2176382,N,Y,35.9159437,-79.0045919
PAST SALE,May-22-2018,Single Family Residential,420 Bayberry Dr,Chapel Hill,NC,27517,27517,650000,5,4.5,Beechridge,5078,49658,2000,731,128,17,Sold,TMLS,2119465,N,Y,35.8871176,-79.0487257
PAST SALE,May-22-2018,Single Family Residential,420 Bayberry Dr,Chapel Hill,NC,27517,27517,650000,5,4.5,Beechridge,5078,49658,2000,731,128,17,Sold,TMLS,2119465,N,Y,35.8871176,-79.0487257
PAST SALE,May-22-2019,Townhouse,1238 Cranebridge Pl,Chapel Hill,NC,27517,27517,232000,3,2.5,Cranebridge,1694,2221,1990,366,137,252,Sold,TMLS,2247428,N,Y,35.900916,-78.99893
PAST SALE,May-22-2019,Single Family Residential,8 Bluffside Ct,Durham,NC,27712-8701,27712,240000,4,2.5,Vantage Pointe,2608,15681,1994,366,92,32,Sold,TMLS,2237925,N,Y,36.085791,-78.8930921
