SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-24-2019,Single Family Residential,3001 Prospect Pkwy,Durham,NC,27703-7988,324900,4,3.5,Brightleaf,2779,6011,2007,303,117,43,Sold,,,http://www.redfin.com/NC/Durham/3001-Prospect-Pkwy-27703/home/43609669,TMLS,2239254,N,Y,35.9538434,-78.8123589
PAST SALE,October-27-2017,Single Family Residential,1912 Nellora Ln Lot 188,Durham,NC,27703,320728,5,3.0,Brightwood Trails,3025,7492,2017,938,106,35,Sold,,,http://www.redfin.com/NC/Durham/1912-Nellora-Ln-27703/unit-188/home/161380171,TMLS,2116319,N,Y,35.965053,-78.80007
PAST SALE,October-4-2017,Single Family Residential,1811 Nellora Ln Lot 154,Durham,NC,27703,276170,4,2.5,Brightwood Trails,2148,7753,2017,961,129,35,Sold,,,http://www.redfin.com/NC/Durham/1811-Nellora-Ln-27703/unit-154/home/161371160,TMLS,2119383,N,Y,35.966548,-78.800573
PAST SALE,October-26-2017,Single Family Residential,1905 Hemlock Hill Dr,Durham,NC,27703,325000,4,3.5,Brightleaf,2639,11761,2014,939,123,88,Sold,,,http://www.redfin.com/NC/Durham/1905-Hemlock-Hill-Dr-27703/home/43610998,TMLS,2152859,N,Y,35.9484456,-78.8246599
PAST SALE,August-31-2017,Single Family Residential,509 Hillview Dr,Durham,NC,27703,275000,4,3.0,Ravenstone,3445,12196,2005,995,80,55,Sold,,,http://www.redfin.com/NC/Durham/509-Hillview-Dr-27703/home/43603180,TMLS,2136060,N,Y,35.9696329,-78.7936934
PAST SALE,October-4-2017,Single Family Residential,306 Holly Blossom Dr,Durham,NC,27703,289000,4,2.5,Ravenstone,3009,9104,2011,961,96,20,Sold,,,http://www.redfin.com/NC/Durham/306-Holly-Blossom-Dr-27703/home/43613235,TMLS,2142191,N,Y,35.9656865,-78.7940373
PAST SALE,July-13-2017,Single Family Residential,621 Wellwater Ave,Durham,NC,27703,325000,4,2.5,Sherron Farms,3017,6577,2016,1044,108,45,Sold,,,http://www.redfin.com/NC/Durham/621-Wellwater-Ave-27703/home/105468451,TMLS,2118874,N,Y,35.9662985,-78.7956307
PAST SALE,August-31-2017,Single Family Residential,28 Oxmoor Dr,Durham,NC,27703,325000,5,3.5,Ashton Hall,3368,12893,2012,995,96,60,Sold,,,http://www.redfin.com/NC/Durham/28-Oxmoor-Dr-27703/home/49676383,TMLS,2137377,N,Y,35.9560199,-78.8337177
PAST SALE,June-21-2017,Single Family Residential,2713 Ashe St,Durham,NC,27703,320000,4,3.0,Old East Durham,2003,21997,1930,1066,160,,Sold,,,http://www.redfin.com/NC/Durham/2713-Ashe-St-27703/home/43533568,TMLS,2127471,N,Y,35.9817809,-78.867999
PAST SALE,December-8-2017,Single Family Residential,409 Holly Blossom Dr,Durham,NC,27703,312150,4,2.5,Sherron Farms,2792,,2017,896,112,45,Sold,,,http://www.redfin.com/NC/Durham/409-Holly-Blossom-Dr-27703/home/122940361,TMLS,2134293,N,Y,35.965168,-78.796959
